"","sender_cells","receiver_cells","ligand","receptor","prob"
"1","GSM1272036_E16_1_C01_IL4148","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0163695682550119
"2","GSM1272037_E16_1_C04_IL4148","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0163695682550119
"3","GSM1272039_E16_1_C06_IL4148","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0163695682550119
"4","GSM1272040_E16_1_C14_IL4148","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0163695682550119
"5","GSM1272042_E16_1_C24_IL4148","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0163695682550119
"6","GSM1272044_E16_1_C40_IL4148","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0163695682550119
"7","GSM1272050_E16_1_C66_IL4148","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0163695682550119
"8","GSM1272051_E16_1_C67_IL4148","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0163695682550119
"9","GSM1272053_E16_1_C72_IL4148","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0163695682550119
"10","GSM1272061_E16_1_C94_IL4148","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0163695682550119
"11","GSM1271946_E14_1_C02_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"12","GSM1271947_E14_1_C05_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"13","GSM1271948_E14_1_C06_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"14","GSM1271949_E14_1_C09_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"15","GSM1271950_E14_1_C10_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"16","GSM1271951_E14_1_C14_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"17","GSM1271953_E14_1_C18_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"18","GSM1271954_E14_1_C22_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"19","GSM1271955_E14_1_C25_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"20","GSM1271957_E14_1_C39_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"21","GSM1271958_E14_1_C44_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"22","GSM1271959_E14_1_C46_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"23","GSM1271960_E14_1_C50_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"24","GSM1271962_E14_1_C54_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"25","GSM1271963_E14_1_C56_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"26","GSM1271964_E14_1_C57_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"27","GSM1271967_E14_1_C65_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"28","GSM1271972_E14_1_C73_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"29","GSM1271974_E14_1_C75_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"30","GSM1271975_E14_1_C76_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"31","GSM1271977_E14_1_C78_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"32","GSM1271979_E14_1_C80_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"33","GSM1271984_E14_1_C87_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"34","GSM1271987_E14_1_C94_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"35","GSM1271988_E14_1_C95_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"36","GSM1271989_E14_1_C96_IL3938","GSM1272008_AT2_1_C37_IL3541","Mif","Cd74_Cd44",0.0212825067693951
"37","GSM1272036_E16_1_C01_IL4148","GSM1271862_E18_1_C08_IL3230","Mdk","Sdc4",0.277938405038503
"38","GSM1272037_E16_1_C04_IL4148","GSM1271862_E18_1_C08_IL3230","Mdk","Sdc4",0.277938405038503
"39","GSM1272039_E16_1_C06_IL4148","GSM1271862_E18_1_C08_IL3230","Mdk","Sdc4",0.277938405038503
