"","Classification","state","entropy"
"GSM1271862_E18_1_C08_IL3230","1","E18",2.47603736732907
"GSM1271864_E18_1_C11_IL3230","1","E18",2.50939216876557
"GSM1271865_E18_1_C13_IL3230","1","E18",2.43955103489518
"GSM1271872_E18_1_C44_IL3230","2","E18",2.3593574628759
"GSM1271873_E18_1_C45_IL3230","1","E18",2.45112584597516
"GSM1271886_E18_2_C11_IL3390","1","E18",2.43337679586703
"GSM1271909_E18_2_C72_IL3390","1","E18",2.33020226849327
"GSM1271913_E18_2_C81_IL3389","1","E18",2.37640395214835
"GSM1271923_E18_3_C23_IL3764","1","E18",2.52759926769604
"GSM1271924_E18_3_C26_IL3764","1","E18",2.49364919325385
"GSM1271930_E18_3_C41_IL3764","1","E18",2.45398270702
"GSM1271941_E18_3_C82_IL3764","1","E18",2.4696561727009
"GSM1271946_E14_1_C02_IL3938","4","E14",2.57937870311342
"GSM1271947_E14_1_C05_IL3938","4","E14",2.57576750937085
"GSM1271948_E14_1_C06_IL3938","4","E14",2.55105670628139
"GSM1271949_E14_1_C09_IL3938","4","E14",2.58367047174687
"GSM1271950_E14_1_C10_IL3938","4","E14",2.57998141148143
"GSM1271951_E14_1_C14_IL3938","4","E14",2.56429347660796
"GSM1271952_E14_1_C16_IL3938","4","E14",2.53303800081526
"GSM1271953_E14_1_C18_IL3938","4","E14",2.53258788281711
"GSM1271954_E14_1_C22_IL3938","4","E14",2.53087021561538
"GSM1271955_E14_1_C25_IL3938","4","E14",2.5705426649459
"GSM1271957_E14_1_C39_IL3938","4","E14",2.57656993145843
"GSM1271958_E14_1_C44_IL3938","4","E14",2.57275490383629
"GSM1271959_E14_1_C46_IL3938","4","E14",2.57392158384068
"GSM1271960_E14_1_C50_IL3938","4","E14",2.56731974816649
"GSM1271962_E14_1_C54_IL3938","4","E14",2.58569538609447
"GSM1271963_E14_1_C56_IL3938","4","E14",2.57786690379058
"GSM1271964_E14_1_C57_IL3938","4","E14",2.58185211385261
"GSM1271966_E14_1_C61_IL3938","4","E14",2.56970023020139
"GSM1271967_E14_1_C65_IL3938","4","E14",2.57982859129561
"GSM1271971_E14_1_C70_IL3938","4","E14",2.57192160313361
"GSM1271972_E14_1_C73_IL3938","4","E14",2.56165903503238
"GSM1271974_E14_1_C75_IL3938","4","E14",2.55648699028242
"GSM1271975_E14_1_C76_IL3938","4","E14",2.53077809433144
"GSM1271977_E14_1_C78_IL3938","4","E14",2.53714173003422
"GSM1271978_E14_1_C79_IL3938","4","E14",2.54639089111524
"GSM1271979_E14_1_C80_IL3938","4","E14",2.57425399347968
"GSM1271984_E14_1_C87_IL3938","4","E14",2.57624176211007
"GSM1271985_E14_1_C89_IL3938","4","E14",2.56226968191587
"GSM1271987_E14_1_C94_IL3938","4","E14",2.54557578739578
"GSM1271988_E14_1_C95_IL3938","4","E14",2.56513736693617
"GSM1271989_E14_1_C96_IL3938","4","E14",2.57495028200396
"GSM1271990_AT2_1_C01_IL3542","2","Adult",2.26699628065427
"GSM1271991_AT2_1_C02_IL3541","2","Adult",2.50171715338973
"GSM1271992_AT2_1_C05_IL3548","2","Adult",2.35294536866391
"GSM1271993_AT2_1_C06_IL3544","2","Adult",2.27351979965613
"GSM1271994_AT2_1_C07_IL3542","2","Adult",2.26841477937081
"GSM1271995_AT2_1_C08_IL3541","2","Adult",2.35141652109716
"GSM1271996_AT2_1_C09_IL3541","2","Adult",2.37619317638295
"GSM1271997_AT2_1_C10_IL3548","2","Adult",2.42537578887098
"GSM1271998_AT2_1_C11_IL3548","2","Adult",2.21646671651792
"GSM1271999_AT2_1_C12_IL3544","2","Adult",2.29796559741653
"GSM1272000_AT2_1_C13_IL3542","2","Adult",2.31920883708627
"GSM1272001_AT2_1_C16_IL3545","2","Adult",2.36215629826776
"GSM1272002_AT2_1_C17_IL3545","2","Adult",2.42960059595232
"GSM1272003_AT2_1_C19_IL3542","2","Adult",2.49988595314087
"GSM1272004_AT2_1_C20_IL3548","2","Adult",2.36512984659958
"GSM1272005_AT2_1_C31_IL3541","2","Adult",2.44909511151184
"GSM1272006_AT2_1_C32_IL3542","2","Adult",2.33731055042359
"GSM1272007_AT2_1_C34_IL3545","2","Adult",2.40053850708724
"GSM1272008_AT2_1_C37_IL3541","1","Adult",2.47062038973129
"GSM1272009_AT2_1_C38_IL3542","2","Adult",1.89224923927366
"GSM1272010_AT2_1_C40_IL3545","2","Adult",2.45096598629742
"GSM1272011_AT2_1_C41_IL3545","2","Adult",2.44417964430412
"GSM1272012_AT2_1_C43_IL3541","2","Adult",2.1422644285406
"GSM1272013_AT2_1_C50_IL3543","2","Adult",2.29519568895985
"GSM1272014_AT2_1_C51_IL3544","2","Adult",2.40030523142906
"GSM1272015_AT2_1_C53_IL3549","2","Adult",2.33609365625382
"GSM1272016_AT2_1_C54_IL3547","2","Adult",2.38072482303935
"GSM1272017_AT2_1_C56_IL3543","2","Adult",2.44011146083188
"GSM1272018_AT2_1_C59_IL3546","2","Adult",2.5012924173199
"GSM1272019_AT2_1_C62_IL3543","2","Adult",2.38038760438883
"GSM1272020_AT2_1_C63_IL3544","2","Adult",2.09061094799926
"GSM1272021_AT2_1_C65_IL3546","2","Adult",2.16914718088556
"GSM1272022_AT2_1_C66_IL3547","2","Adult",2.3866815681385
"GSM1272023_AT2_1_C67_IL3543","2","Adult",2.34039717718143
"GSM1272024_AT2_1_C68_IL3544","2","Adult",2.13045440906583
"GSM1272025_AT2_1_C70_IL3546","2","Adult",2.2194442923086
"GSM1272026_AT2_1_C72_IL3547","2","Adult",2.48968482092225
"GSM1272027_AT2_1_C76_IL3547","2","Adult",2.35459234969891
"GSM1272028_AT2_1_C78_IL3546","2","Adult",2.39842688276795
"GSM1272029_AT2_1_C80_IL3544","2","Adult",2.37402211021368
"GSM1272030_AT2_1_C83_IL3547","2","Adult",2.33798821852725
"GSM1272031_AT2_1_C89_IL3547","2","Adult",2.36261428988477
"GSM1272032_AT2_1_C92_IL3544","2","Adult",2.26055625208909
"GSM1272033_AT2_1_C93_IL3543","2","Adult",2.46398462271052
"GSM1272034_AT2_1_C94_IL3547","2","Adult",1.71476349704158
"GSM1272035_AT2_1_C96_IL3546","2","Adult",2.37427165977275
"GSM1272036_E16_1_C01_IL4148","3","E16",2.55086115168399
"GSM1272037_E16_1_C04_IL4148","3","E16",2.53078294932859
"GSM1272039_E16_1_C06_IL4148","3","E16",2.55003671529934
"GSM1272040_E16_1_C14_IL4148","3","E16",2.52675116591068
"GSM1272042_E16_1_C24_IL4148","3","E16",2.5170408589123
"GSM1272044_E16_1_C40_IL4148","3","E16",2.50020024579056
